"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"L1P3",70.8205131625166,-1.47270078853277,0.516719296790613,0.000891013583724316,0.00576188784141725
"L1PA10",109.978768305898,-0.481045786949199,0.134764675113408,0.000198281726545896,0.00165286407987868
"L1PA14",12.778306606193,-0.742097346673494,0.280041801675149,0.00282320604027818,0.0147664747302785
"L1PA15",594.017468991162,1.04389682480971,0.218617842993431,1.89643858745007e-07,4.70581389025401e-06
"L1PA8",98.6285132618306,0.731360485509452,0.189847624724166,2.88180674668909e-05,0.000323672399864975
"L1PB",10.950266850176,-1.1776421379361,0.332610799516247,7.06408978035553e-05,0.000711073942984845
"L1PREC2",339.127953612389,0.62178594441349,0.228541618722578,0.00192730167700741,0.010710577548786
"L2a",4344.43499267867,-0.204100767912764,0.0712817908815599,0.00233555912818896,0.0123982168645653
"L3",591.331611912965,-0.719349460252218,0.0924362325954119,2.63309952059612e-15,3.1216857649734e-13
"L3b",66.5962536114469,-0.633036637232093,0.157623149260833,2.43323668814705e-05,0.000283214973400481
"L4_C_Mam",19.0741401361013,-1.1829277870284,0.254960052763405,6.48573647974887e-07,1.35691780860628e-05
"L5",8.56019379636725,-0.677244416501733,0.293250352062445,0.00720801578691184,0.0321797190152089
"LFSINE_Vert",75.922096344706,-0.494409794265582,0.149933166834269,0.000546729125159673,0.00376361275190562
"LOR1-int",81.3800292291898,-1.42224371250981,0.479256690934198,0.000619576802900327,0.00415778898550093
"LTR06",119.510513279426,0.735600307083427,0.227707709808354,0.000254498082929121,0.00197359030756345
"LTR103b_Mam",3.13019487622418,2.50707533196036,0.861965808045499,0.000132398925558015,0.00120743293649916
"LTR108a_Mam",170.972707343891,-3.05366886387042,0.481013184473926,8.73953285490371e-11,4.05438328529663e-09
"LTR13",346.364837578517,0.499986711909504,0.228433846547468,0.0119321856993499,0.04859405397407
"LTR14",15.5026752472864,1.10867302105221,0.360759739730969,0.000206261424059496,0.00170605379435258
"LTR14B",14.6759742396826,0.917171295417831,0.526898451618472,0.00711830278650582,0.0319127271983265
"LTR16A",145.868796162965,-1.52886383221084,0.213511913143841,1.59696997886126e-13,1.4199724728708e-11
"LTR16A1",107.013391917819,-1.16499378334652,0.20909558966896,6.1390187792198e-09,2.0469790741961e-07
"LTR16B2",9.16072478396354,-1.30457477972489,0.438620426636897,0.000541998643723942,0.00376361275190562
"LTR16D2",1.87032183312579,-2.74943351910225,0.715737169495554,3.48709942328923e-05,0.000379097338311316
"LTR18B",109.225457562391,-1.49593294053096,0.32372500920525,8.36480861236826e-07,1.71639438257633e-05
"LTR19A",223.584749482395,0.943005307698527,0.235841875026557,8.14997863481723e-06,0.000114421410570394
"LTR1A2",55.0882645799553,1.17160730723124,0.464142238707046,0.000673995993200701,0.00446679332139844
"LTR2",87.6983781800391,1.02806631809846,0.262282629249046,0.00227479915715704,0.0121360535034328
"LTR21A",104.097233545579,1.23736597728487,0.515124968108075,0.000765475378343121,0.00504174215242043
"LTR22B1",6.5969411653966,1.15932835415913,0.45018799656602,0.000978074776430914,0.00617518216835376
"LTR25",89.3881082888876,0.469923805704046,0.191620860346593,0.00695015131249668,0.0312903436727171
"LTR28C",101.695084979772,0.907356930240175,0.375191935301755,0.00175187113884193,0.00989019314891183
"LTR33",178.91892315637,-0.560939323189385,0.167374698384586,0.000392314028959773,0.00292726621608446
"LTR33A_",99.9884714586872,-0.486509596445896,0.15532025671235,0.000957899321880445,0.0060838010502764
"LTR37B",16.6960897805368,-1.12213831006082,0.267530452467862,5.65547855547322e-06,8.62056516955704e-05
"LTR39",1145.3790120413,-1.43520620742349,0.520554215501962,0.00119707523696416,0.00713563842369137
"LTR3A",55.549929200188,2.34308505589356,0.442108463406785,1.36589840402587e-06,2.60677282255726e-05
"LTR3B",5.40765001488876,-0.632929573075674,0.267779111225162,0.00603202989739103,0.0277421375022251
"LTR3B_",51.9238682403353,0.896185562536918,0.36577863454053,0.00158550601870798,0.00899859001043307
"LTR4",389.685197553887,1.1199941525155,0.434146974727973,0.000631223419072274,0.00420947117593823
"LTR41",162.102520239582,0.463875314128429,0.114560999515907,3.5529272569008e-05,0.000379097338311316
"LTR41B",188.088524463788,1.2980086912969,0.242235572002006,5.62906478485924e-09,1.93748778240155e-07
"LTR41C",19.3087905636617,-0.50776703488592,0.221594055255892,0.0108669079943269,0.0449418249222744
"LTR45B",79.7124759928517,-0.858295359335829,0.395799363539782,0.00816641281583711,0.0358582817880584
"LTR45C",14.7932297743744,2.60243123038237,0.672718371480898,2.9866813965964e-06,5.40133737316671e-05
"LTR46-int",88.1760005685742,-1.33637943304238,0.378257317947001,8.84234777192884e-05,0.000857707733877098
"LTR47A2",156.80018805514,0.931272924734103,0.249760021432526,2.61732275797227e-05,0.00030028853578026
